RNCP15789;8034
RNCP15793;4610
RNCP15796/RNCP37339;6577
RNCP15800/RNCP36898;8700
RNCP15802/RNCP39248;7212
RNCP15817/RNCP38041;7945
RNCP15819/RNCP38518;8976
RNCP15963/RNCP37627;9000
RNCP15964/RNCP37151;7842
RNCP16015/RNCP37033;9955
RNCP16044;9000
RNCP16045;9491
RNCP16058;7560
RNCP1607/RNCP36528;8668
RNCP16128/RNCP38393;7500
RNCP16129/RNCP38310;8550
RNCP1615/RNCP36734;7650
RNCP16153;8018
RNCP16165/RNCP38533;10800
RNCP16179;10137
RNCP16189/RNCP36092/RNCP39052;9200
RNCP16197;7813
RNCP16204/RNCP37425;8439
RNCP16240;8500
RNCP16246/RNCP36443/RNCP39764;9410
RNCP16258/RNCP37738;7137
RNCP16261/RNCP37855;7095
RNCP16262/RNCP37626;7350
RNCP16286/RNCP36323;9092
RNCP16313/RNCP36965;8833
RNCP16392/RNCP36108;9000
RNCP16454;6547
RNCP16515;8532
RNCP16542;8358
RNCP16546;9000
RNCP16575/RNCP36128/RNCP37504;7310
RNCP16618/RNCP36472;7441
RNCP16629;7544
RNCP16638/RNCP36083/RNCP38930;8634
RNCP16642;8468
RNCP16643/RNCP37809;7841
RNCP16666/RNCP38637;9250
RNCP16694;9092
RNCP16742/RNCP36572;7927
RNCP16759/RNCP37954;11650
RNCP16770;12580
RNCP16798;9973
RNCP16800;7871
RNCP16833;8842
RNCP16861/RNCP39448;9949
RNCP16862/RNCP36346;8401
RNCP16875;9281
RNCP16881/RNCP37656;7604
RNCP16889/RNCP37177;7207
RNCP16895/RNCP38108;7088
RNCP16910/RNCP38378;8262
RNCP16911/RNCP37728;9217
RNCP16912/RNCP38376;7787
RNCP16913/RNCP38377;8084
RNCP16928;7105
RNCP16948/RNCP36984/RNCP39624;7200
RNCP1695/RNCP38030;7310
RNCP16952/RNCP37261;7325
RNCP16959/RNCP36287;8640
RNCP16961/RNCP38240;12000
RNCP16963/RNCP37393;9000
RNCP17000/RNCP38674;9850
RNCP17006;8907
RNCP17009;9325
RNCP17017/RNCP37716;9163
RNCP17029/RNCP39915;9700
RNCP17030;6373
RNCP17031/RNCP37718;5563
RNCP17037;9202
RNCP17040/RNCP39913;9404
RNCP17041;9274
RNCP17045/RNCP39803;8349
RNCP1707/RNCP36352;9205
RNCP17080;10065
RNCP17090;9700
RNCP17127/RNCP37915/RNCP38570;11500
RNCP17131/RNCP37938;7898
RNCP17163;6260
RNCP17164;6250
RNCP17175/RNCP37594;9000
RNCP17197;6840
RNCP17204/RNCP36897;7632
RNCP17215/RNCP38350;7322
RNCP17218/RNCP38349;6963
RNCP17223/RNCP36584;7351
RNCP17243;9000
RNCP17265/RNCP36063/RNCP39093;7810
RNCP17270/RNCP36580/RNCP37804;7733
RNCP17271;9263
RNCP17274/RNCP37349;8033
RNCP17279/RNCP37053;8727
